CODICE_IVASS;TIPO_ALBO;DATA_ISCRIZIONE_ALBO_ELENCO;DATA_CANCELLAZIONE_ALBO_ELENCO;DENOMINAZIONE_IMPRESA;CODICE_FISCALE;CLASSIFICAZIONE;INDIRIZZO_SEDE_LEGALE_RAPPRESENTANZA_IN_ITALIA;INDIRIZZO_DIREZIONE_GENERALE;INDIRIZZO_CASA_MADRE;TIPO_LAVORO;PEC
C399R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;INTER PARTNER ASSISTANCE SA;03420940151;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CARLO PESENTI, 121  00156 ROMA;;;DANNI;COMUNICAZIONI.IVASS@PEC.IT
D973R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;17/02/2020;31/12/9999;IPTIQ EMEA P&C SA;11155540963;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA VETRA 17  20123 MILANO;;;DANNI;iptiqemeasa@legalmail.it
D921R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;06/03/2014;31/12/9999;LA MONDIALE EUROPARTNER S.A.;08366380965;IMPRESA SEE CHE OPERA IN STABILIMENTO;FORO BONAPARTE, 12  20121 MILANO;;;VITA;LAMONDIALEEUROPARTNER@LEGALMAIL.IT
D963R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;08/03/2019;31/12/9999;LIBERTY MUTUAL INSURANCE EUROPE SE;07776640968;IMPRESA SEE CHE OPERA IN STABILIMENTO;TIME BUILDING, VIA FABIO FILZI 29  20124 MILANO;;;DANNI;LIBERTYITALIA@LEGALMAIL.IT
D952R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;01/08/2018;31/12/9999;LLOYD'S INSURANCE COMPANY SA;10548370963;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO GARIBALDI 86  20121 MILANO;;;DANNI;LLOYDSBRUSSELS.ITALIA@PEC.LLOYDS.COM
D922R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;17/03/2014;31/12/9999;LOMBARD INTERNATIONAL ASSURANCE SA;08441540963;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA SAN MARCO, 3  20121 MILANO;;;VITA;LOMBARDINTERNATIONALASSURANCE@LEGALMAIL.IT
D840R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;MAPFRE ASISTENCIA, COMPAÑIA INTERNATIONAL DE SEGUROS Y REASEGUROS, S.A.;02114590025;IMPRESA SEE CHE OPERA IN STABILIMENTO;STRADA TROSSI, 66  13871 VERRONE;;;DANNI;info@cert.mapfreasistencia.it
D839R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;MEDIOLANUM INTERNATIONAL LIFE DAC;03952590960;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA F. SFORZA PAL. FERMI MILANO 3  20079 BASIGLIO;;;VITA;rappresentanzamill@pec.mediolanum.it
D918R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;26/11/2013;31/12/9999;MEDVIDA PARTNERS DE SEGUROS Y REASEGUROS S.A. (SOCIEDAD UNIPERSONAL);08595960967;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ALBERICO ALBRICCI, 7  20122 MILANO;;;MISTA;medvidapartners@pec.it
D911R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;10/10/2012;31/12/9999;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY;12083481007;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ANDREA VESALIO, 6  00161 ROMA;;;PICCOLO CUMULO;MEL-ITALIA@LEGALMAIL.IT
D910R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;10/10/2012;31/12/9999;METLIFE EUROPE INSURANCE DESIGNATED ACTIVITY COMPANY;12083681002;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ANDREA VESALIO, 6  00100 ROMA;;;DANNI;MEIL-ITALIA@LEGALMAIL.IT
D830R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;MONUMENT ASSURANCE LUXEMBOURG S.A.;02189370303;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIALE MONZA, 265  20126 MILANO;;;VITA;MONUMENT@LEGALMAIL.IT
D919R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;10/12/2013;31/12/9999;MSIG INSURANCE EUROPE AG;08422260961;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FORO BUONAPARTE, 63  20121 MILANO;;;DANNI;MSIG@LEGALMAIL.IT
D849R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;OCTIUM ASSURANCE AG;04502630967;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO GIACOMO MATTEOTTI, 1  20121 MILANO;;;VITA;CSLP@LEGALMAIL.IT
D960R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;15/02/2019;31/12/9999;ONIX ASIGURARI S.A.;15200201000;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA VENETO, 7, 1ST FLOOR  00187 ROMA;;;DANNI;ONIXASIGURARI@LEGALMAIL.IT
D942R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;12/04/2017;31/12/9999;OPTEVEN ASSURANCES S.A.;09915270962;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ENRICO TAZZOLI 6  20154 MILANO;;;DANNI;OPTEVEN_ASSURANCES@LEGALMAIL.IT
D948R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;19/07/2018;31/12/9999;QBE EUROPE SA/NV;10532190963;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA MELCHIORRE GIOIA 8  20124 MILANO;;;DANNI;UFFICIO.COMMERCIALE@CERT.IT.QBE.COM
D811R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;01/01/1997;31/12/9999;R+V ALLGEMEINE VERSICHERUNG AG;91536950156;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA GIOVANNI SPADOLINI, 7 CENTRO LEONI PALAZZO B  20141 MILANO;;;DANNI;ruv-italia@legalmail.it
D945R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;29/09/2017;31/12/9999;REAL GARANT VERSICHERUNG AKTIENGESELLSCHAFT;10122640963;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ENRICO FERMI 11/A  37135 VERONA;;;DANNI;REALGARANTVERSICHERUNGAG@PECIMPRESE.IT
D929R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;30/09/2015;31/12/9999;RELYENS MUTUAL INSURANCE;97843200581;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CARLO IMBONATI 18  20159 MILANO;;;DANNI;relyens.ufficio@legalmail.it
D861R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;ROLAND RECHTSSCHUTZ VERSICHERUNG AG;05377040968;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FRANCESCO GUICCIARDINI,6  20129 MILANO;;;DANNI;ROLANDAG@LEGALMAIL.IT
D961R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;01/03/2019;31/12/9999;SCOTTISH WIDOWS EUROPE S.A.;10792080961;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA SEBASTIANO CABOTO, 1  20094 CORSICO;;;VITA;sweitalia@pec.it
